Judul,judul_proc
PERBANDINGAN PERFORMA DALAM PENGENALAN TULISAN AKSARA LAMPUNG MELALUI OPTICAL CHARACTER RECOGNITION (OCR) DENGAN ALGORITMA SUPPORT VECTOR MACHINE (SVM) MENGGUNAKAN EKSTRAKSI FITUR HISTOGRAM OF ORIENTED GRADIENTS DAN GRAY-LEVEL RUN LENGTH MATRIX ,banding performa kenal tulis aksara lampung lalu optical character recognition ocr algoritma support vector machine svm guna ekstraksi fitur histogram of oriented gradients gray level run length matrix
PREDIKSI KUALITAS UDARA DI KOTA PALEMBANG DENGAN METODE GATED RECURRENT UNIT ,prediksi kualitas udara kota palembang metode gated recurrent unit
IMPLEMENTASI MODEL INDOBERT MELALUI APLIKASI BERBASIS WEBSITE UNTUK DETEKSI BERITA PALSU ,implementasi model indobert lalu aplikasi bas website deteksi berita palsu
PERAMALAN NILAI EKSPOR MIGAS DENGAN MENERAPKAN MODEL AUTOREGRESSIVE FRACTIONALLY INTEGRATED MOVING AVERAGE (ARFIMA),amal nilai ekspor migas terap model autoregressive fractionally integrated moving average arfima
PERAMALAN PRODUKSI KOPI DAN JUMLAH CURAH HUJAN DI PROVINSI LAMPUNG MENGGUNAKAN SEASONAL AUTOREGRESSIVE INTEGRATED MOVING AVERAGE (SARIMA) ,amal produksi kopi jumlah curah hujan provinsi lampung guna seasonal autoregressive integrated moving average sarima
ANALISIS SENTIMEN PADA KOLOM KOMENTAR YOUTUBE DENGAN TOPIK POLUSI UDARA MENGGUNAKAN ALGORITMA LONG SHORT TERM MEMORY ,analisis sentimen kolom komentar youtube topik polusi udara guna algoritma long short term memory
ANALISIS SUPPORT VECTOR MACHINE (SVM) DENGAN SYNTHETIC MINORITY OVERSAMPLING TECHNIQUE (SMOTE) DALAM MENGATASI DATA TIDAK SEIMBANG UNTUK KLASIFIKASI ULASAN LAYANAN KESEHATAN ,analisis support vector machine svm synthetic minority oversampling technique smote atas data tidak imbang klasifikasi ulas layan sehat
DETEKSI PENGGUNAAN HELM PADA PENGGUNA SEPEDA MOTOR DENGAN YOU ONLY LOOK ONCE V8 DAN HYPERPARAMETER TUNING MENGGUNAKAN ALGORITMA GENETIKA MELALUI CCTV LALU LINTAS BANDAR LAMPUNG ,deteksi guna helm guna sepeda motor you only look once hyperparameter tuning guna algoritma genetika lalu cctv lalu lintas bandar lampung
EVALUASI PEFORMA KLASIFIKASI TUMOR OTAK DENGAN ARSITEKTUR CNN-CONVNEXT,evaluasi forma klasifikasi tumor otak arsitektur cnn convnext
PENGELOMPOKAN TITIK PANAS MENGGUNAKAN ALGORITMA  DENSITY BASED CLUSTERING APPLICATION WITH NOISE ( STUDI KASUS DI PROVINSI SUMATERA SELATAN PADA TAHUN 2019-2023),kelompok titik panas guna algoritma density based clustering application with noise studi kasus provinsi sumatera selatan tahun
MODEL REKONSTRUKSI DATA TEMPORAL PASANG SURUT AIR LAUT DI STASIUN TIDE GAUGE PROVINSI LAMPUNG MENGGUNAKAN METODE LONG SHORT-TERM MEMORY (LSTM) ,model rekonstruksi data temporal pasang surut air laut stasiun tide gauge provinsi lampung guna metode long short term memory lstm
PENGEMBANGAN MODEL PRAPROSES DAN PREDIKSI PASANG SURUT AIR LAUT DI TIDE GAUGES PROVINSI KEPULAUAN RIAU MENGGUNAKAN METODE LONG SHORT-TERM MEMORY (LSTM) ,kembang model praproses prediksi pasang surut air laut tide gauges provinsi pulau riau guna metode long short term memory lstm
PEMETAAN DAN PREDIKSI HOTSPOT MENGGUNAKAN METODE LONG SHORT-TERM MEMORY (STUDI KASUS DI PROVINSI SUMATERA SELATAN),meta prediksi hotspot guna metode long short term memory studi kasus provinsi sumatera selatan
IMPLEMENTASI ALGORITMA ACTOR-CRITIC SEBAGAI SISTEM REKOMENDASI RUTE PERJALANAN WISATA : STUDI KASUS DANAU TOBA DAN SAMOSIR ,implementasi algoritma actor critic sistem rekomendasi rute jalan wisata studi kasus danau toba samosir
KLASIFIKASI KANKER BERDASARKAN DATA RNA DENGAN PEMANFAATAN METODE 1D-CNN ,klasifikasi kanker dasar data rna manfaat metode cnn
SISTEM REKOMENDASI BUKU DIGITAL MENGGUNAKAN ALGORITMA NEURAL COLLABORATIVE FILTERING ,sistem rekomendasi buku digital guna algoritma neural collaborative filtering
PERAMALAN HARGA PENUTUPAN SAHAM PT. BANK CENTRAL ASIA TBK DENGAN MENGGUNAKAN FACEBOOK PROPHET ,amal harga tutup saham pt bank central asia tbk guna facebook prophet
SISTEM REKOMENDASI MENGGUNAKAN K-MENAS DAN COLLABORATIVE FILTERING PADA TRANSAKSI PENJUALAN ONLINE ,sistem rekomendasi guna nas collaborative filtering transaksi jual online
PERAMALAN NILAI IMPOR BESI BAJA MENGGUNAKAN METODE GATED RECURRENT UNIT (GRU) ,amal nilai impor besi baja guna metode gated recurrent unit gru
PREDIKSI HARGA EMAS DI INDONESIA MENGGUNAKAN ALGORITMA NAIVE BAYES ,prediksi harga emas indonesia guna algoritma naive bayes
ANALISIS PERAMALAN HARGA SAHAM PT. BUKIT ASAM TBK MENGGUNAKAN MODEL FUZZY TIME SERIES MARKOV CHAIN ,analisis amal harga saham pt bukit asam tbk guna model fuzzy time series markov chain
PEMODELAN KLASIFIKASI ETALASE PRODUK PADA E-KATALOG LEMBAGA KEBIJAKAN PENGADAAN BARANG/JASA PEMERINTAH KOTA BANDAR LAMPUNG MENGGUNAKAN METODE K-NEAREST NEIGHBORS ,model klasifikasi etalase produk katalog lembaga bijak ada barang jasa perintah kota bandar lampung guna metode nearest neighbors
PENERAPAN METODE K-NEAREST NEIGHBORS (KNN) UNTUK KLASIFIKASI PRODUK PADA PLATFORM E-COMMERCE C2C,terap metode nearest neighbors knn klasifikasi produk platform commerce
ANALISIS SENTIMEN TERHADAP ULASAN WIASATAWAN DI PULAU BALI MELALUI PENDEKATAN FINE-TUNING MODEL DISTILBERT ,analisis sentimen ulas wiasatawan pulau bal lalu dekat fine tuning model distilbert
ANALISIS PENGARUH PERUBAHAN PENGGUNAAN LAHAN (LAND USE) MENGGUNAKAN ALGORITMA RANDOM FOREST TERHADAP SUHU PERMUKAAN DAN FENOMENA URBAN HEAT ISLAND MENGGUNAKAN CLOUD COMPUTING PLATFORM ,analisis pengaruh ubah guna lahan land use guna algoritma random forest suhu muka fenomena urban heat island guna cloud computing platform
DETEKSI UJARAN KEBENCIAN PASCA PEMILU 2024 DI INDONESIA DALAM KOLOM KOMENTAR INSTAGRAM MENGGUNAKAN POS TAGGING DAN METODE KLASIFIKASI DEEP NEURAL NETWORK,deteksi ujar benci pasca milu indonesia kolom komentar instagram guna pos tagging metode klasifikasi deep neural network
PERAMALAN JUMLAH TITIK PANAS DI WILAYAH SUMATERA MENGGUNAKAN METODE LONG-SHORT TERM MEMORY ,amal jumlah titik panas wilayah sumatera guna metode long short term memory
PENGEMBANGAN SISTEM OPTICAL CHARACTER RECOGNITION (OCR) UNTUK AKSARA BATAK TOBA MENGGUNAKAN CONVO- LUTIONAL NEURAL NETWORK (CNN) DENGAN TRANSFER LEARNING,kembang sistem optical character recognition ocr aksara batak toba guna convo lutional neural network cnn transfer learning
PREDIKSI KUALITAS UDARA DI JAKARTA MENGGUNAKAN ALGORITMA LONG SHORT TERM MEMORY (LSTM),prediksi kualitas udara jakarta guna algoritma long short term memory lstm
PREDIKSI PRODUKSI NANAS KALENG PADA PT. GREAT GAINT PINEAPPLE MENGGUNAKAN LONG SHORT THERM MEMORY,prediksi produksi nanas kaleng pt great gaint pineapple guna long short therm memory
KLASIFIKASI BIOAKTIVITAS SENYAWA ANTI-COVID-19 MENGGUNAKAN METODE SMOTE-NC DAN SUPPORT VECTOR MACHINE,klasifikasi bioaktivitas senyawa anti covid guna metode smote nc support vector machine
SISTEM REKOMENDASI TEMPAT WISATA KABUPATEN PESAWARAN DENGAN COLLABORATIVE FILTERING MENGGUNAKAN METODE SINGULAR VALUE DECOMPOSITION (SVD),sistem rekomendasi tempat wisata kabupaten sawar collaborative filtering guna metode singular value decomposition svd
SISTEM REKOMENDASI FILM MENGGUNAKAN NEIGHBORHOOD-BASED COLLABORATIVE FILTERING,sistem rekomendasi film guna neighborhood based collaborative filtering
PERAMALAN HARGA DAN PRODUKSI CABAI MERAH DI PROVINSI LAMPUNG MENGGUNAKAN METODE LONG SHORT TERM MEMORY,amal harga produksi cabai merah provinsi lampung guna metode long short term memory
PREDIKSI KURS RUPIAH TERHADAP DOLLAR AMERIKA SERIKAT DENGAN BANTUAN PENDEKATAN MODEL MARKOV TERSEMBUNYI YANG DILATIH ALGORITMA BAUM-WELCH,prediksi kurs rupiah dollar amerika serikat bantu dekat model markov sembunyi latih algoritma baum welch
IMPLEMENTASI GATED RECCURENT UNIT (GRU) DENGAN DEKOMPOSISI DATA DERET WAKTU UNTUK MERAMALKAN JUMLAH KUNJUNGAN WISATAWAN MANCANEGARA DI SUMATRA UTARA,implementasi gated reccurent unit gru dekomposisi data deret waktu ramal jumlah kunjung wisatawan mancanegara sumatra utara
PREDIKSI CURAH HUJAN MENGGUNAKAN METODE LONG SHORT-TERM MEMORY (LSTM) DI KOTA BANDAR LAMPUNG,prediksi curah hujan guna metode long short term memory lstm kota bandar lampung
PENERAPAN METODE MULTINOMIAL NAIVE BAYES CLASSIFIER DALAM ANALISIS SENTIMEN ULASAN APLIKASI MITRA TRANSPORTASI ONLINE,terap metode multinomial naive bayes classifier analisis sentimen ulas aplikasi mitra transportasi online
IMPLEMENTASI METODE MODIFIED K-NEAREST NEIGHBOR UNTUK ANALISIS SENTIMEN BERBASIS ASPEK PADA ULASAN GOOGLE MAPS OBJEK WISATA DI KABUPATEN SAMOSIR,implementasi metode modified nearest neighbor analisis sentimen bas aspek ulas google maps objek wisata kabupaten samosir
PENGGUNAAN METODE MULTINOMIAL NAÏVE BAYES DALAM MENGANALISIS SENTIMEN TERHADAP ULASAN PENGGUNA APLIKASI PODCAST BERDASARKAN ULASAN DI PLAYSTORE,guna metode multinomial na ve bayes analis sentimen ulas guna aplikasi podcast dasar ulas playstore
ANALISIS PERBANDINGAN MODEL REGRESI LAJU PERTUMBUHAN KATEGORI PERDAGANGAN BESAR DAN ECERAN TERHADAP KATEGORI PENYUSUN PRODUK DOMESTIK REGIONAL BRUTO DI PROVINSI LAMPUNG,analisis banding model regresi laju tumbuh kategori dagang besar ecer kategori susun produk domestik regional bruto provinsi lampung
KLASIFIKASI FINE-GRAINED DAUN MANGROVE MENGGUNAKAN RES4NET-CBAM DI DESA EKOWISATA CUKU NYI NYI,klasifikasi fine grained daun mangrove guna res net cbam desa ekowisata cuku nyi nyi
PENGELOMPOKAN SAHAM PADA INDEKS SAHAM SYARIAH INDONESIA (ISSI) DENGAN METODE K-MEANS DAN ISOLATION FOREST BERDASARKAN RASIO KEUANGAN,kelompok saham indeks saham syariah indonesia issi metode means isolation forest dasar rasio uang
ANALISIS SENTIMEN MENGGUNAKAN METODE SUPPORT VECTOR MACHINE (SVM) DENGAN K-FOLD CROSS VALIDATION PADA APLIKASI CHATGPT,analisis sentimen guna metode support vector machine svm fold cross validation aplikasi chatgpt
ANALISIS SENTIMEN PENGGUNA MEDIA SOSIAL X TERHADAP TEKNOLOGI ARTIFICIAL INTELLIGENCE (AI) MENGGUNAKAN METODE SUPPORT VECTOR MACHINE BERBASIS PARTICLE SWARM OPTIMIZATION,analisis sentimen guna media sosial teknologi artificial intelligence ai guna metode support vector machine bas particle swarm optimization
IDENTIFIKASI PENYAKIT PARU-PARU BERDASARKAN SUARA DAN RIWAYAT PASIEN MENGGUNAKAN MODEL CROSS-ATTENTION VIDEO VISION TRANSFORMER,identifikasi sakit paru paru dasar suara riwayat pasien guna model cross attention video vision transformer
SISTEM REKOMENDASI TEMPAT WISATA KABUPATEN PESAWARAN DENGAN COLLABORATIVE FILTERING MENGGUNAKAN METODE SINGULAR VALUE DECOMPOSITION (SVD),sistem rekomendasi tempat wisata kabupaten sawar collaborative filtering guna metode singular value decomposition svd
ANALISIS OPINI PUBLIK PADA SOSIAL MEDIA X (TWITTER) TERHADAP GEMPA MEGATHRUST MENGGUNAKAN TF-IDF + N-GRAM DAN ALGORITMA DECISION TREE,analisis opini publik sosial media twitter gempa megathrust guna tf idf gram algoritma decision tree
PREDIKSI HARGA PENUTUPAN SAHAM BMRI MENGGUNAKAN METODE BIDIRECTIONAL LONG SHORT TERM MEMORY (BILSTM),prediksi harga tutup saham bmri guna metode bidirectional long short term memory bilstm
PERBANDINGAN PERFORMA MODEL CONVOLUTIONAL NEURAL NETWORK–BIDIRECTIONAL LONG SHORT-TERM MEMORY (CNN-BILSTM) UNTUK PREDIKSI HARGA SAHAM TESLA MENGGUNAKAN DATA HISTORIS DAN KOMBINASI DENGAN SENTIMEN X,banding performa model convolutional neural network bidirectional long short term memory cnn bilstm prediksi harga saham tesla guna data historis kombinasi sentimen
IMPLEMENTASI ALGORITMA K-NEAREST NEIGHBORS (KNN) DAN SMOTE-NC UNTUK MENGATASI KETIDAKSEIMBANGAN DATA PADA DETEKSI PENYAKIT STROKE,implementasi algoritma nearest neighbors knn smote nc atas ketidakseimbangan data deteksi sakit stroke
"DETEKSI KOMUNITAS PADA JARINGAN KOMPLEKS PASAR SAHAM IHSG DENGAN METODE HYBRID COMPLEX NETWORK, RANDOM MATRIKS THEORY, DAN ALGORITMA LEIDEN",deteksi komunitas jaring kompleks pasar saham ihsg metode hybrid complex network random matriks theory algoritma leiden
ANALISIS JARINGAN SOSIAL DAN KOMUNITAS PENGGUNA PERPUSTAKAAN INSTITUT TEKNOLOGI SUMATERA BERBASIS PEMINJAMAN BUKU MENGGUNAKAN ALGORITMA LEIDEN,analisis jaring sosial komunitas guna pustaka institut teknologi sumatera bas pinjam buku guna algoritma leiden
ANALISIS PERMALAN HARGA SAHAM BBCA DENGAN METODE ENSEMBLE LSTM-GRU,analisis mal harga saham bbca metode ensemble lstm gru
KLASIFIKASI TINGKAT KEMATANGAN TANDAN BUAH SEGAR KELAPA SAWIT BERBASIS CITRA MENGGUNAKAN ARSITEKTUR MOBILENETV2 DENGAN CONVOLUTIONAL BLOCK ATTENTION MODULE (CBAM),klasifikasi tingkat matang tandan buah segar kelapa sawit bas citra guna arsitektur mobilenetv convolutional block attention module cbam
MODEL CROSS-ATTENTION VIDEO VISION TRANSFORMER UNTUK MENDESKRIPSIKAN VIDEO,model cross attention video vision transformer deskripsi video
ANALISIS SENTIMEN PELANGGAN NUJU COFFEE HQ PADA ULASAN GOOGLE MAPS MELALUI PENERAPAN MODEL MULTINOMIAL NAIVE BAYES DAN PERBANDINGAN KOMBINASI TF-IDF DAN N-GRAM,analisis sentimen langgan nuju coffee hq ulas google maps lalu terap model multinomial naive bayes banding kombinasi tf idf gram
KLASIFIKASI KUALITAS VENEER MENGGUNAKAN TRANSFER LEARNING PADA MODEL CONVOLUTIONAL NEURAL NETWORK (STUDI KASUS: PT SUMBER GRAHA SEJAHTERA WAY KANAN),klasifikasi kualitas veneer guna transfer learning model convolutional neural network studi kasus pt sumber graha sejahtera way kanan
SMALL AREA ESTIMATION DENGAN PENDEKATAN HIERARCHICAL BAYESIAN NORMAL (STUDI KASUS: TINGKAT PENGANGGURAN TERBUKA DI PROVINSI SUMATERA UTARA),small area estimation dekat hierarchical bayesian normal studi kasus tingkat anggur buka provinsi sumatera utara
KLASIFIKASI JENIS PENYAKIT DAUN MANGGA MENGGUNAKAN CNN DENGAN ARSITEKTUR RESNET50,klasifikasi jenis sakit daun mangga guna cnn arsitektur resnet
ANALISIS KERANJANG BELANJA UNTUK MENGIDENTIFIKASI POLA KONSUMSI PELANGGAN MENGGUNAKAN ALGORITMA APRIORI DAN FREQUENT PATTERN GROWTH (STUDI KASUS : KAPILER DAN MANGGOBAT DELIGHT BANDAR LAMPUNG),analisis keranjang belanja identifikasi pola konsumsi langgan guna algoritma apriori frequent pattern growth studi kasus kapiler manggobat delight bandar lampung
"PREDIKSI HARGA SAHAM PT. CAMPINA ICE CREAM INDUSTRY, TBK MENGGUNAKAN METODE SUPPORT VECTOR REGRESSION",prediksi harga saham pt campina ice cream industry tbk guna metode support vector regression
PERAMALAN VOLATILITAS RETURN SAHAM PT BANK RAKYAT INDONESIA DENGAN GLOSTEN-JAGANNATHAN-RUNKLE GARCH,amal volatilitas return saham pt bank rakyat indonesia glosten jagannathan runkle garch
PENDEKATAN GRAPH NEURAL NETWORK DENGAN ARSITEKTUR LIGHTGCN UNTUK SISTEM REKOMENDASI FILM,dekat graph neural network arsitektur lightgcn sistem rekomendasi film
DETEKSI ALAT PELINDUNG DIRI (APD) KESELAMATAN KERJA MENGGUNAKAN PENDEKATAN EFFICIENTNETV2 BERBASIS TRANSFER LEARNING,deteksi alat lindung diri apd selamat kerja guna dekat efficientnetv bas transfer learning
SMALL AREA ESTIMATION DENGAN PENDEKATAN HIERARCHICAL BAYESIAN LOG-NORMAL (STUDI KASUS: TINGKAT PENGANGGURAN TERBUKA DI PROVINSI SUMATERA BARAT),small area estimation dekat hierarchical bayesian log normal studi kasus tingkat anggur buka provinsi sumatera barat
PREDIKSI KUALITAS UDARA DI KOTA MEDAN DENGAN METODE GATED RECURRENT UNIT BERDASARKAN INDEKS STANDAR PENCEMAR UDARA (ISPU),prediksi kualitas udara kota medan metode gated recurrent unit dasar indeks standar cemar udara ispu
PENERAPAN METODE LOUVAIN UNTUK DETEKSI KOMUNITAS PENYANYI PADA PLAYLIST ROCK DI SPOTIFY,terap metode louvain deteksi komunitas nyanyi playlist rock spotify
PREDIKSI KUALITAS UDARA DI KOTA BANDAR LAMPUNG MENGGUNAKAN GATED RECURRENT UNIT,prediksi kualitas udara kota bandar lampung guna gated recurrent unit
ANALISIS PERFORMA MODEL CNN ARSITEKTUR VGG19 UNTUK MEMPREDIKSI PENYAKIT PARU TUBERCULOSIS BERDASARKAN HASIL CITRA RONTGEN X-RAY,analisis performa model cnn arsitektur vgg prediksi sakit paru tuberculosis dasar hasil citra rontgen ray
PENGKATEGORIAN KINERJA TIM PANEN NANAS DI LAMPUNG MENGGUNAKAN SUPPORT VECTOR MACHINE,kategori kerja tim panen nanas lampung guna support vector machine
PENERAPAN MODEL CNN DENGAN ARSITEKTUR VGG-19 UNTUK KLASIFIKASI COVID-19 BERDASARKAN CITRA RONTGEN THORAX,terap model cnn arsitektur vgg klasifikasi covid dasar citra rontgen thorax
"PENERAPAN ALGORITMA PARTICLE SWARM OPTIMIZATION UNTUK MENENTUKAN JADWAL PERKULIAHAN(STUDI KASUS: PROGRAM STUDI SAINS DATA, INSTITUT TEKNOLOGI SUMATERA)",terap algoritma particle swarm optimization tentu jadwal kuliah studi kasus program studi sains data institut teknologi sumatera
ANALISIS PENGARUH CRYPTO FEAR AND GREED INDEX DALAM PREDIKSI HARGA BITCOIN MENGGUNAKAN MULTIVARIATE LONG SHORT-TERM MEMORY,analisis pengaruh crypto fear and greed index prediksi harga bitcoin guna multivariate long short term memory
CLUSTERING SPATIO-TEMPORAL HOTSPOT DI LAHAN GAMBUT SUMATERA SELATAN MENGGUNAKAN ALGORITMA ST-DBSCAN DENGAN OPTIMASI PARAMETER,clustering spatio temporal hotspot lahan gambut sumatera selatan guna algoritma st dbscan optimasi parameter
PENERAPAN TRANSFER LEARNING BERBASIS MOBILENETV3-SMALL  UNTUK KLASIFIKASI PENYAKIT PADA DAUN SINGKONG,terap transfer learning bas mobilenetv small klasifikasi sakit daun singkong
ANALISIS SENTIMEN MASYARAKAT TERHADAP PEREKONOMIAN INDONESIA SELAMA DEFLASI DAN PENURUNAN DAYA BELI PADA KOMENTAR YOUTUBE MENGGUNAKAN SUPPORT VECTOR MACHINE,analisis sentimen masyarakat ekonomi indonesia lama deflasi turun daya beli komentar youtube guna support vector machine
PENERAPAN MODEL EMPIRICAL BEST LINEAR UNBIASED PREDICTION DALAM PENDUGAAN PERSENTASE PENDUDUK MISKIN DI KABUPATEN/KOTA PROVINSI SUMATERA UTARA ,terap model empirical best linear unbiased prediction duga persentase duduk miskin kabupaten kota provinsi sumatera utara
PENERAPAN MODEL INDOBERT UNTUK ANALISIS SENTIMEN PADA ULASAN PENGGUNA PRODUK MAKEUP DAN SKINCARE DI PLATFORM E-COMMERCE,terap model indobert analisis sentimen ulas guna produk makeup skincare platform commerce
OPTIMASI HYPERPARAMETER PADA CNN-RESNET-50 MENGGUNAKAN PARTICLE SWARM OPTIMIZATION (PSO) UNTUK KLASIFIKASI TUMOR OTAK BERDASARKAN CITRA MRI,optimasi hyperparameter cnn resnet guna particle swarm optimization pso klasifikasi tumor otak dasar citra mri
PREDIKSI NILAI EKSPOR TAMBANG INDONESIA MENGGUNAKAN MODEL ARIMA DENGAN PENDEKATAN INTERVENSI PULSE,prediksi nilai ekspor tambang indonesia guna model arima dekat intervensi pulse
PENERAPAN METODE SUPPORT VECTOR MACHINE (SVM) UNTUK KLASIFIKASI SENTIMEN PADA ULASAN APLIKASI ASURANSI KESEHATAN,terap metode support vector machine svm klasifikasi sentimen ulas aplikasi asuransi sehat
PENGELOMPOKAN GEMPA BUMI DI PULAU SUMATERA MENGGUNAKAN DENSITY BASED SPATIAL CLUSTERING OF APPLICATION WITH NOISE (DBSCAN),kelompok gempa bumi pulau sumatera guna density based spatial clustering of application with noise dbscan
PERAMALAN JUMLAH KUNJUNGAN WISATAWAN MANCANEGARA KE INDONESIA DENGAN MENERAPKAN MODEL AUTOREGRESSIVE INTEGRATED MOVING AVERAGE (ARIMA) DAN ANALISIS INTERVENSI FUNGSI STEP,amal jumlah kunjung wisatawan mancanegara indonesia terap model autoregressive integrated moving average arima analisis intervensi fungsi step
SEGMENTASI BURNED AREA MENGGUNAKAN MODEL U-NET PADA CITRA LANDSAT 9 (STUDI KASUS: SUMATERA SELATAN),segmentasi burned area guna model net citra landsat studi kasus sumatera selatan
ANALISIS PENGELOMPOKAN SKRIPSI MAHASISWA FAKULTAS SAINS INSTITUT TEKNOLOGI SUMATERA DENGAN METODE AGGLOMERATIVE HIERARCHICAL CLUSTERING,analisis kelompok skripsi mahasiswa fakultas sains institut teknologi sumatera metode agglomerative hierarchical clustering
DETEKSI PENYAKIT EPILEPSI MENGGUNAKAN SINYAL ELECTROENCEPHALOGRAPH DENGAN METODE FAST FOURIER TRANSFORM UNTUK EKSTRAKSI FITUR DAN RANDOM FOREST UNTUK KLASIFIKASI,deteksi sakit epilepsi guna sinyal electroencephalograph metode fast fourier transform ekstraksi fitur random forest klasifikasi
PENERAPAN DAN EVALUASI MODEL BIDIRECTIONAL AND AUTO-REGRESSIVE TRANSFORMER (BART) DALAM PERINGKASAN TEKS ABSTRAKTIF ARTIKEL ILMIAH.,terap evaluasi model bidirectional and auto regressive transformer bart ringkas teks abstraktif artikel ilmiah
ANALISIS PERBANDINGAN KLASIFIKASI HASIL SUARA PEMILU 2024 DENGAN PENDEKATAN MACHINE LEARNING (K-MEANS + KNN) DAN DEEP LEARNING (MLP),analisis banding klasifikasi hasil suara milu dekat machine learning means knn deep learning mlp
PENERAPAN METODE SMALL AREA ESTIMATION DENGAN PENDEKATAN HIERARCHICAL BAYESIAN (STUDI KASUS: TINGKAT PENGANGGURAN TERBUKA DI PROVINSI KEPULAUAN RIAU),terap metode small area estimation dekat hierarchical bayesian studi kasus tingkat anggur buka provinsi pulau riau
PENERAPAN ALGORITMA XGBOOST DAN BAYESIAN OPTIMIZATION DALAM MEMPREDIKSI RISIKO PENYAKIT JANTUNG KORONER,terap algoritma xgboost bayesian optimization prediksi risiko sakit jantung koroner
IMPLEMENTASI METODE MODIFIED K-NEARST NEIGHBOR UNTUK KLASIFIKASI TINGKAT KEJADIAN DEMAM BERDARAH DENGUE BERDASARKAN FAKTOR IKLIM DI PROVINSI LAMPUNG,implementasi metode modified nearst neighbor klasifikasi tingkat jadi demam darah dengue dasar faktor iklim provinsi lampung
ANALISIS SOCIAL NETWORK PADA KOLABORASI MUSISI DALAM INDUSTRI MUSIK BERDASARKAN DATA SPOTIFY,analisis social network kolaborasi musisi industri musik dasar data spotify
PENERAPAN METODE K-NEAREST NEIGHBOUR (KNN) DENGAN SYNTHETIC MINORITY OVER-SAMPLING TECHNIQUE (SMOTE) UNTUK MENGATASI DATA TAK SEIMBANG DALAM KLASIFIKASI SENTIMEN LAYANAN MUSIK ONLINE,terap metode nearest neighbour knn synthetic minority over sampling technique smote atas data tak imbang klasifikasi sentimen layan musik online
IMPLEMENTASI ALGORITMA K-NEAREST NEIGHBOR (KNN) DENGAN SYNTHETIC MINORITY OVERSAMPLING TECHNIQUE (SMOTE)  SEBAGAI PENYEIMBANG DATA PADA ANALISIS SENTIMEN ULASAN GAME FIRST-PERSON SHOOTER,implementasi algoritma nearest neighbor knn synthetic minority oversampling technique smote imbang data analisis sentimen ulas game first person shooter
